toolName,toolCategory,status,bg,percentage,common,toolDataOrigin,subStatus,lastActiveTime
OLT4006_ARC_BARC_L19,Hot,Active,#008000,%,NULL,olt,Active,41 min,
OLT4007_ARC_BARC_L19L20,Hot,IDLE,#cc3300,%,NULL,olt,Active,1385 min,
OLT4008_ARC_BARC_L20,Hot,Active,#008000,%,NULL,olt,Active,44 min,
OLT4009_ARC_BARC_L21,Hot,Active,#cc3300,%,NULL,olt,Active,61 min,
OLT4010_ARC_BARC_L21L22,Hot,IDLE,#cc3300,%,NULL,olt,Active,122 min,
OLT4011_ARC_BARC_L22,Hot,Active,#008000,%,NULL,olt,Active,56 min,
OLT4012_ARC_BARC_L22_2,Hot,IDLE,#cc3300,%,NULL,olt,Active,109 min,
OLT4003_ARC_BARC_L17,Hot,NO DATA,#808896,%,NULL,trace_olt,MISSING,1000000 min,
OLT4004_ARC_BARC_L17L18,Hot,NO DATA,#808896,%,NULL,trace_olt,MISSING,1000000 min,
OLT4005_ARC_BARC_L18,Hot,NO DATA,#808896,%,NULL,trace_olt,MISSING,1000000 min,
OLT4006_ARC_BARC_L19,Hot,NO DATA,#808896,%,NULL,trace_olt,MISSING,1000000 min,
OLT4007_ARC_BARC_L19L20,Hot,NO DATA,#808896,%,NULL,trace_olt,MISSING,1000000 min,
OLT4008_ARC_BARC_L20,Hot,NO DATA,#808896,%,NULL,trace_olt,MISSING,1000000 min,
OLT4009_ARC_BARC_L21,Hot,NO DATA,#808896,%,NULL,trace_olt,MISSING,1000000 min,
OLT4010_ARC_BARC_L21L22,Hot,NO DATA,#808896,%,NULL,trace_olt,MISSING,1000000 min,
OLT4011_ARC_BARC_L22,Hot,NO DATA,#808896,%,NULL,trace_olt,MISSING,1000000 min,
OLT4012_ARC_BARC_L22_2,Hot,NO DATA,#808896,%,NULL,trace_olt,MISSING,1000000 min,
TT_VISION_2001_OST_L17,Test,NO DATA,#808896,%,NULL,trace_ost,MISSING,1000000 min,
TT_VISION_4002_OST_L19,Test,Active,#008000,%,NULL,trace_ost,Active,17 min,
TT_VISION_4003_OST_L20,Test,IDLE,#cc3300,%,NULL,trace_ost,5 weeks,54778 min,
TT_VISION_4004_OST_L21,Test,Active,#008000,%,NULL,trace_ost,Active,27 min,
TT_VISION_4005_OST_L22,Test,Active,#008000,%,NULL,trace_ost,Active,9 min,
